sample_id,dimension,rule_score,teacher_mapped_score,error_rule_minus_teacher,abs_error,mapping
battery,information,98.57,84.88,13.69,13.69,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
battery,layout,79.5,78.56,0.94,0.94,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
battery,visual,76.42,76.81,-0.39,0.39,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
battery,consistency,54.11,72.44,-18.33,18.33,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
care,information,46.0,77.5,-31.5,31.5,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
care,layout,82.55,70.06,12.49,12.49,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
care,visual,57.06,72.38,-15.32,15.32,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
care,consistency,60.73,68.75,-8.02,8.02,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
earbuds,information,97.14,37.5,59.64,59.64,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
earbuds,layout,51.59,38.44,13.15,13.15,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
earbuds,visual,49.46,46.25,3.21,3.21,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
earbuds,consistency,66.49,47.19,19.3,19.3,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
focus,information,100.0,85.25,14.75,14.75,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
focus,layout,82.86,80.56,2.3,2.3,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
focus,visual,78.04,80.5,-2.46,2.46,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
focus,consistency,56.65,78.12,-21.47,21.47,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
marathon,information,100.0,84.5,15.5,15.5,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
marathon,layout,82.93,78.25,4.68,4.68,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
marathon,visual,62.39,76.44,-14.05,14.05,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
marathon,consistency,51.92,74.12,-22.2,22.2,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
meeting,information,100.0,79.38,20.62,20.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
meeting,layout,83.63,74.06,9.57,9.57,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
meeting,visual,64.0,75.38,-11.38,11.38,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
meeting,consistency,69.72,70.25,-0.53,0.53,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
sleep,information,46.66,84.12,-37.46,37.46,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
sleep,layout,83.03,77.38,5.65,5.65,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
sleep,visual,58.85,77.44,-18.59,18.59,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
sleep,consistency,60.73,74.62,-13.89,13.89,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
status,information,100.0,79.38,20.62,20.62,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
status,layout,84.79,75.19,9.6,9.6,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
status,visual,66.17,72.56,-6.39,6.39,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
status,consistency,65.75,71.12,-5.37,5.37,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
warn,information,100.0,84.5,15.5,15.5,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
warn,layout,82.79,78.06,4.73,4.73,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
warn,visual,72.58,76.44,-3.86,3.86,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
warn,consistency,58.17,73.56,-15.39,15.39,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
weather,information,82.0,83.75,-1.75,1.75,"{""basic_usability"": 0.7, ""composition_hierarchy"": 0.3}"
weather,layout,79.37,76.31,3.06,3.06,"{""basic_usability"": 0.15, ""composition_hierarchy"": 0.7, ""detail_finish"": 0.15}"
weather,visual,72.29,75.5,-3.21,3.21,"{""color_material"": 0.55, ""composition_hierarchy"": 0.3, ""typography"": 0.15}"
weather,consistency,54.92,73.12,-18.2,18.2,"{""color_material"": 0.2, ""detail_finish"": 0.45, ""typography"": 0.35}"
