sample_id,rule_overall,teacher_overall,error_rule_minus_teacher,abs_error,rule_rank,teacher_rank,rank_delta_rule_minus_teacher,rule_bucket,teacher_bucket,bucket_match,bad_case_type
battery,76.01,76.38,-0.37,0.37,3,3,0,high,high,True,ok
care,70.56,71.06,-0.5,0.5,9,9,0,mid,mid,True,ok
earbuds,52.09,42.19,9.9,9.9,10,10,0,low,low,True,large_error
focus,78.61,79.06,-0.45,0.45,1,1,0,high,high,True,ok
marathon,72.07,75.94,-3.87,3.87,7,4,3,mid,high,False,ok
meeting,74.66,73.06,1.6,1.6,5,7,-2,mid,mid,True,ok
sleep,71.52,76.81,-5.29,5.29,8,2,6,mid,high,False,ok
status,75.76,71.75,4.01,4.01,4,8,-4,high,mid,False,ok
warn,76.56,75.0,1.56,1.56,2,5,-3,high,high,True,ok
weather,74.39,74.31,0.08,0.08,6,6,0,mid,mid,True,ok
